"Barron Longfellow","Longfellow, Barron ","1983"
"Dream come true","Karizma","1983"
"A hole in the wall","Jordan, Marc ","1983"
"Taking a cold look","i-Ten","1983"
"On your every word","Holland, Amy","1983"
"Finis","Henderson, Finis ","1983"
"Shakespeare stole my baby","Eye to Eye","1983"
"Another page","Cross, Christopher ","1983"
"Nightline","Crawford, Randy ","1983"
"Sincerita","Cocciante, Ricardo ","1983"
"Cafe racer","Carnes, Kim","1983"
"Cool hand","Bertucci, Anne ","1983"
"Walk a fine line","Anka, Paul","1983"
"Blow your own horn","Alpert, Herb","1983"
"Dune","Toto","1984"
"Isolation","Toto","1984"
"Read my lips","Waybill, Fee ","1984"
"The official music of the 1984 Olympic Games","Various artists ","1984"
"Emotion","Streisand, Barbra ","1984"
"Footloose","Soundtrack","1984"
"Playin' it cool","Schmit, Thimothy B.","1984"
"Give me the night","Mirage","1984"
"Give my regards to Broadstreet","McCartney, Paul ","1984"
"I feel for you","Khan, Chaka ","1984"
"Looking for trouble","Kennedy, Joyce ","1984"
"The magazine","Jones, Rickie Lee ","1984"
"Victory","Jacksons","1984"
"I won't break your heart","Iwasaki, Hiromi ","1984"
"Which one of us is me","Gruska, Jay","1984"
"A private heaven","Easton, Sheena ","1984"
"Kicks","Crane, Stephan ","1984"
"Civilized man","Cocker, Joe","1984"
"Women in flames","Champaign","1984"
"Just one heart","Blake, Karen ","1984"
"20/20","Benson, George ","1984"
"Stealin' Horses","Stealin' Horses ","1985"
"St. Elmo's fire","Soundtrack","1985"
"Wildcats","Soundtrack","1985"
"White nights","Soundtrack","1985"
"Heart of the matter","Rogers, Kenny ","1985"
"Soul kiss","Newton-John, Olivia ","1985"
"Dog eat dog","Mitchell, Joni ","1985"
"Eric Martin","Martin, Eric","1985"
"Mathematics","Manchester, Melissa ","1985"
"Killer lords","Lords of the new church ","1985"
"Vox humana","Loggins, Kenny ","1985"
"9 1/2","Kawai, Naoko ","1985"
"Division one","Far Corporation","1985"
"I'm not crazy","Dees, Rick & the cast of idiots ","1985"
"Behind the sun","Clapton, Eric ","1985"
"Stay tuned","Atkins, Chet ","1985"
"Fahrenheit","Toto","1986"
"Wildcats","Soundtrack","1986"
"Raw deal","Soundtrack","1986"
"Back to school","Soundtrack","1986"
"Lotus Gem","Santana, Beck & Lukather ","1986"
"They don't make them like they used to","Rogers, Kenny ","1986"
"Dancing on the ceiling","Richie, Lionel ","1986"
"Only love","Raymond, Brett ","1986"
"The lover speaks","Lover Speaks, The","1986"
"Precious moments","Jackson, Jermaine ","1986"
"Headed for the future","Diamond, Neil ","1986"
"Chicago 18","Chicago","1986"
"Lives in the balance","Browne, Jackson","1986"
"Contemporary drummer + one (lessons)","Weckl, Dave ","1987"
"Blue slipper","Watson, Helen","1987"
"Turning rebellion into money conflict","Soundtrack","1987"
"Heart and soul","Milsap, Ronnie ","1987"
"Start over","Lynn, Cheryl ","1987"
"Through any window","Larsen, Neil ","1987"
"Greatest hits, vol. 1","Grass Roots, The ","1987"
"Tim Feehan","Feehan, Tim","1987"
"Cher","Cher","1987"
"The seventh one","Toto","1988"
"Other roads","Scaggs, Boz ","1988"
"Think out loud","Think out loud","1988"
"Hiding myself","Rankin, Kenny","1988"
"Prey","Pasquale, Joe ","1988"
"Land of dreams","Newman, Randy","1988"
"Norwegian wood I","L.A. Workshop ","1988"
"Lefty","Garfunkel, Art","1988"
"Best years of our lives","Diamond, Neil ","1988"
"In the City of Angels","Anderson, Jon","1988"
"Lukather","Lukather, Steve","1989"
"Los Lobotomys","Los Lobotomys","1989"
"Weibsbilder","Werner, Pé","1989"
"Outrageous temptations","Weisberg, Tim","1989"
"A very special Christmas","Various artists ","1989"
"Here and there","Sugiyama, Kiyotaka","1989"
"Abyss","Soundtrack (Alan Silvestri)","1989"
"Road house","Soundtrack","1989"
"Homer and Eddie","Soundtrack","1989"
"Destroyed","Sloppy Seconds ","1989"
"Cashmere dreams","Saunders, Fernando ","1989"
"Timeless love (single)","Saraya","1989"
"I got love","Rodgers, Michael ","1989"
"Le o deta","Megu","1989"
"Repeat offender","Marx, Richard","1989"
"Sweet","Kawauchi, Junichi ","1989"
"Cuba","Karizma","1989"
"Back on the block","Jones, Quincy ","1989"
"The runaway","Jones, Booker T.","1989"
"Can't find the midnight","Harnen, Jimmy ","1989"
"Tribute to Otis Redding","Guitar workshop ","1989"
"Dieter Falk","Falk, Dieter","1989"
